blueWins,blueFirstBlood,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,redKills,redTotalExperience,redAssists,blueCSPerMin,redCSPerMin,blueGoldPerMin,redGoldPerMin,blueAvgPickrate,redAvgPickrate,bluePredWinrate,redPredWinrate
1,1.0,18398.0,1984.0,1044.0,9.0,7.0,10.0,4.0,17354.0,7.0,29.4,28.5,1750.0,1551.6,0.10205363614399614,0.13479101232181687,0.5080320058291473,0.48776954134634
0,1.0,18303.0,-1021.0,-905.0,-31.0,2.0,2.0,4.0,19208.0,6.0,28.2,31.3,1496.6,1598.7,0.1216477410002416,0.2256100507368929,0.5092276932692751,0.489522160715624
1,0.0,17528.0,-2224.0,-1098.0,-39.0,3.0,4.0,5.0,18626.0,8.0,28.2,32.1,1538.3,1760.7,0.20386566803575745,0.07567045179995167,0.4866685252454476,0.4188002769841003
1,0.0,18907.0,-232.0,1722.0,43.0,3.0,5.0,4.0,17185.0,12.0,30.8,26.5,1551.6,1574.8,0.11350567769992753,0.0575984537327857,0.4845877275760728,0.4942627861063166
1,1.0,15845.0,-1111.0,-1067.0,-47.0,5.0,7.0,7.0,16912.0,5.0,23.0,27.7,1525.7,1636.8,0.17347185310461466,0.10744141096883304,0.5071148039524391,0.4560726149695341
0,0.0,18111.0,-1431.0,63.0,39.0,1.0,2.0,4.0,18048.0,5.0,31.1,27.2,1488.2,1631.3,0.11628412660062815,0.22085044696786665,0.5011002593664229,0.5052668131871149
0,0.0,15055.0,-4662.0,-2890.0,-95.0,1.0,1.0,5.0,17945.0,5.0,21.8,31.3,1278.3,1744.5,0.0787871466537811,0.12201014737859385,0.4818082953121569,0.5044718388154252
1,1.0,17994.0,-750.0,-1147.0,15.0,1.0,1.0,4.0,19141.0,6.0,32.7,31.2,1527.0,1602.0,0.20439719739067405,0.108287025851655,0.5106116054468286,0.469610381931725
0,0.0,16255.0,-3590.0,-3875.0,-59.0,0.0,0.0,6.0,20130.0,8.0,25.3,31.2,1360.2,1719.2,0.13510509784972216,0.12850930176371106,0.4655081631503689,0.4996038628541106
0,0.0,17223.0,-579.0,-616.0,-23.0,1.0,2.0,1.0,17839.0,1.0,29.1,31.4,1436.3,1494.2,0.11816863976805993,0.10954336796327616,0.5265861963238848,0.4775542384083927
0,0.0,18872.0,-499.0,-221.0,-9.0,1.0,1.0,2.0,19093.0,2.0,32.6,33.5,1508.6,1558.5,0.15960376902633489,0.08835467504228074,0.4896001821905233,0.4738270176084034
1,1.0,18668.0,-357.0,-643.0,-30.0,3.0,5.0,3.0,19311.0,5.0,29.4,32.4,1539.5,1575.2,0.07494563904324716,0.14510751389224447,0.4949140182946921,0.4708008528555269
0,0.0,16238.0,-4913.0,-4153.0,-65.0,1.0,1.0,8.0,20391.0,11.0,26.8,33.3,1380.6,1871.9,0.1658613191592172,0.1803334138680841,0.5216638449435139,0.4943486075804882
1,0.0,19377.0,1461.0,1493.0,15.0,7.0,11.0,5.0,17884.0,5.0,30.9,29.4,1774.9,1628.8,0.11244261899009422,0.08277361681565595,0.4956926602642252,0.4730020824518755
0,0.0,17792.0,-1373.0,-1702.0,-21.0,0.0,0.0,2.0,19494.0,3.0,29.1,31.2,1415.8,1553.1,0.0998550374486591,0.04786180236772168,0.4791964986795924,0.5070005307244759
1,1.0,19506.0,1176.0,996.0,4.0,3.0,3.0,1.0,18510.0,2.0,31.7,31.3,1608.1,1490.5,0.1086252718047838,0.20988161391640492,0.531237277929552,0.4956535148346088
1,1.0,17632.0,1631.0,-402.0,-21.0,3.0,3.0,0.0,18034.0,0.0,30.2,32.3,1598.9,1435.8,0.19789804300555688,0.10343078038173474,0.5217735982342723,0.5176741855343929
0,0.0,16790.0,-2113.0,-1256.0,9.0,4.0,4.0,10.0,18046.0,12.0,27.3,26.4,1558.1,1769.4,0.07441410968833051,0.11314327132157527,0.5018237053907377,0.4835850400844873
1,0.0,18124.0,1809.0,1487.0,2.0,10.0,14.0,5.0,16637.0,9.0,26.2,26.0,1751.7,1570.8,0.20589514375453008,0.14742691471369895,0.512695513900275,0.4839432976125059
1,0.0,17964.0,-744.0,-728.0,3.0,2.0,2.0,2.0,18692.0,2.0,31.3,31.0,1526.4,1600.8,0.14489007006523316,0.15213819763227834,0.4925481289426923,0.5116869489158472
0,0.0,17819.0,-199.0,189.0,-25.0,6.0,9.0,4.0,17630.0,7.0,27.6,30.1,1618.5,1638.4,0.17750664411693645,0.08115486832568253,0.4952313824369242,0.5346991115372886
0,1.0,17493.0,-3167.0,-3407.0,-35.0,1.0,1.0,8.0,20900.0,10.0,29.1,32.6,1489.9,1806.6,0.11973906740758634,0.1342836433921237,0.5081069256423504,0.4878381831790876
1,1.0,19652.0,3596.0,1623.0,16.0,8.0,12.0,0.0,18029.0,0.0,30.9,29.3,1765.1,1405.5,0.19149553032133365,0.19586856728678426,0.5030821362410697,0.5152555813885661
1,1.0,18525.0,1299.0,1221.0,8.0,3.0,1.0,0.0,17304.0,0.0,31.2,30.4,1545.8,1415.9,0.18055085769509546,0.17163566078762987,0.5318409559796449,0.4918356687515303
0,0.0,19713.0,-41.0,709.0,-17.0,2.0,4.0,1.0,19004.0,1.0,34.2,35.9,1605.1,1609.2,0.14037207054844164,0.14733027301280505,0.4757443231034562,0.4973544500633936
1,1.0,19861.0,79.0,76.0,-21.0,2.0,1.0,1.0,19785.0,1.0,34.9,37.0,1600.4,1592.5,0.10850446967866634,0.2804058951437545,0.4988474118431626,0.5243450263987299
1,1.0,19508.0,783.0,141.0,32.0,2.0,5.0,4.0,19367.0,10.0,35.9,32.7,1706.5,1628.2,0.197004107272288,0.1509543367963276,0.5128949935244347,0.4853409534512913
1,0.0,19179.0,326.0,466.0,14.0,0.0,0.0,0.0,18713.0,0.0,35.6,34.2,1513.6,1481.0,0.2361198357091085,0.10125634211162117,0.4966432373311313,0.5074307572580468
